"","rs","lyap"
"353",3.352,-0.306176744670038
"354",3.353,-0.301905500897819
"355",3.354,-0.297669752565697
"356",3.355,-0.293468900618704
"357",3.356,-0.289302361049796
"358",3.357,-0.285169564399519
"359",3.358,-0.281069955277446
"360",3.359,-0.277002991901772
"361",3.36,-0.272968145658902
"362",3.361,-0.26896490068006
"363",3.362,-0.264992753434393
"364",3.363,-0.261051212339172
"365",3.364,-0.257139797384458
"366",3.365,-0.253258039772576
"367",3.366,-0.249405481571947
"368",3.367,-0.245581675383374
"369",3.368,-0.241786184019934
"370",3.369,-0.238018580198277
"371",3.37,-0.234278446241779
"372",3.371,-0.230565373794658
"373",3.372,-0.226878963546742
"374",3.373,-0.223218824968206
"375",3.374,-0.219584576054093
"376",3.375,-0.215975843077845
"377",3.376,-0.212392260353919
"378",3.377,-0.20883347000876
"379",3.378,-0.205299121759747
"380",3.379,-0.201788872701972
"381",3.38,-0.198302387102825
"382",3.381,-0.194839336203009
"383",3.382,-0.191399398024727
"384",3.383,-0.187982257186681
"385",3.384,-0.184587604725019
"386",3.385,-0.181215137920247
"387",3.386,-0.177864560130105
"388",3.387,-0.174535580628235
"389",3.388,-0.171227914447583
"390",3.389,-0.167941282229425
"391",3.39,-0.164675410077142
"392",3.391,-0.161430029414647
"393",3.392,-0.158204876849727
"394",3.393,-0.154999694041133
"395",3.394,-0.151814227570477
"396",3.395,-0.148648228817833
"397",3.396,-0.145501453841476
"398",3.397,-0.142373663261061
"399",3.398,-0.13926462214474
"400",3.399,-0.136174099899614
"401",3.4,-0.133101870165353
"402",3.401,-0.130047710711495
"403",3.402,-0.127011403337398
"404",3.403,-0.123992733775437
"405",3.404,-0.120991491597106
"406",3.405,-0.118007470121741
"407",3.406,-0.115040466328102
"408",3.407,-0.112090280768483
"409",3.408,-0.109156717485304
"410",3.409,-0.106239583930174
"411",3.41,-0.103338690885217
"412",3.411,-0.100453852386819
"413",3.412,-0.0975848856512081
"414",3.413,-0.0947316110026082
"415",3.414,-0.0918938518029944
"416",3.415,-0.0890714343840478
"417",3.416,-0.0862641879809754
"418",3.417,-0.0834719446681859
"419",3.418,-0.0806945392965147
"420",3.419,-0.0779318094325478
"421",3.42,-0.0751835952993107
"422",3.421,-0.0724497397185924
"423",3.422,-0.0697300880550679
"424",3.423,-0.0670244881615698
"425",3.424,-0.064332790325994
"426",3.425,-0.0616548472197842
"427",3.426,-0.0589905138468366
"428",3.427,-0.0563396474964252
"429",3.428,-0.0537021076938216
"430",3.429,-0.0510777561564131
"431",3.43,-0.0484664567399181
"432",3.431,-0.0458680754093404
"433",3.432,-0.0432824801227691
"434",3.433,-0.0407095409757063
"435",3.434,-0.0381491298641123
"436",3.435,-0.0356011214765451
"437",3.436,-0.0330653906426482
"438",3.437,-0.0305418131586061
"439",3.438,-0.0280302778896721
"440",3.439,-0.0255306432065168
"441",3.44,-0.0230428412713215
"442",3.441,-0.0205666653088423
"443",3.442,-0.0181020631305747
"444",3.443,-0.0156491110084864
"445",3.444,-0.0132071947057138
"446",3.445,-0.0107769907109616
"447",3.446,-0.00835722136328575
"448",3.447,-0.00595030451808937
"449",3.448,-0.00356250851337954
"450",3.449,-0.00118766246036844
"451",3.45,-0.00252721689012685
"452",3.451,-0.00730853831396498
"453",3.452,-0.0122583078487099
"454",3.453,-0.0173253118225728
"455",3.454,-0.0225240172901861
"456",3.455,-0.0278378374024064
"457",3.456,-0.0332747699847887
"458",3.457,-0.0388549846692659
"459",3.458,-0.0445708643172963
"460",3.459,-0.0504341282205447
"461",3.46,-0.0564523264541599
"462",3.461,-0.0626336045863528
"463",3.462,-0.0689867677214809
"464",3.463,-0.075521353668309
"465",3.464,-0.0822477165178156
"466",3.465,-0.0891771225364046
"467",3.466,-0.0963218605682122
"468",3.467,-0.103695369659209
"469",3.468,-0.111312387235659
"470",3.469,-0.119189121941293
"471",3.47,-0.127343456226636
"472",3.471,-0.135795185056722
"473",3.472,-0.144566298750821
"474",3.473,-0.153681320122122
"475",3.474,-0.16316770892834
"476",3.475,-0.173056350432905
"477",3.476,-0.183382149981048
"478",3.477,-0.194184762453973
"479",3.478,-0.205509495069478
"480",3.479,-0.217408435438469
"481",3.48,-0.229941875879729
"482",3.481,-0.243180132561737
"483",3.482,-0.257205898556015
"484",3.483,-0.272117330634898
"485",3.484,-0.288032162744546
"486",3.485,-0.30509328530569
"487",3.486,-0.323476465587527
"488",3.487,-0.343401277698469
"489",3.488,-0.365146989803151
"490",3.489,-0.389076378121957
"491",3.49,-0.415672745122788
"492",3.491,-0.44560003592062
"493",3.492,-0.479805846842222
"494",3.493,-0.519710258694568
"495",3.494,-0.567583793906119
"496",3.495,-0.627400153676959
"497",3.496,-0.707128016090275
"498",3.497,-0.826948201368645
"499",3.498,-1.07472754255785
"500",3.499,-1.13469020858901
"501",3.5,-0.846332125406012
"502",3.501,-0.718138804646919
"503",3.502,-0.634604967723419
"504",3.503,-0.572503668911413
"505",3.504,-0.523036366784836
"506",3.505,-0.481910306141404
"507",3.506,-0.446706100995807
"508",3.507,-0.415924869044675
"509",3.508,-0.388573395253566
"510",3.509,-0.363959495757656
"511",3.51,-0.341581452216601
"512",3.511,-0.321063966016871
"513",3.512,-0.302118957195613
"514",3.513,-0.284520470868042
"515",3.514,-0.268088005779957
"516",3.515,-0.252675085272478
"517",3.516,-0.238161208971053
"518",3.517,-0.224446051908322
"519",3.518,-0.211445197654695
"520",3.519,-0.199086943021507
"521",3.52,-0.187309866787833
"522",3.521,-0.1760609531984
"523",3.522,-0.165294124933575
