uncertainty,singlepop-evo,singlepop-noevo,totalbiomass-evo,totalbiomass-noevo,extrate-evo,extrate-noevo
Low,0,0,0,0,0,0
Medium,3.026482,14.88773,7.447777,15.867114,2.692696,2.386099
High,3.860633,4.092053,5.243616,5.367932,3.270399,2.916806
Very high,1.936123,1.28174,5.239606,0.404061,0.141421,0.484873
