uncertainty,singlepop-evo,singlepop-noevo,totalbiomass-evo,totalbiomass-noevo,extrate-evo,extrate-noevo
Low,11,96,35,100,13,13
Medium,11.94,53.22,30.8,46.7,7.88,11.98
High,4.56,10.1,17.12,10.04,5.72,2.68
Very high,0.92,0.9,13.34,3.2,0.02,0.36
